City,Date,PM2.5,PM10,O3,NO2,CO,SO2,Green_Space,Temperature_mean,Temperature_max,Humidity,Wind_speed,Pressure,Electricity Consumption,Source,isWeekend,Season
Cairo,2023-01-01,36.3375,60.34166666666667,33.333333333333336,36.1,337.4166666666667,34.795833333333334,53,15.88888888888889,20.0,75.33333333333333,8.511111111111111,1007.247111111111,358394448.07,estimated,0,Winter
Cairo,2023-01-02,49.37916666666666,78.9375,18.625,46.70416666666667,442.0,55.14166666666667,53,16.044444444444444,21.0,70.84444444444445,7.888888888888889,1006.3935555555556,401089651.95,estimated,0,Winter
Cairo,2023-01-03,34.06666666666667,51.825,24.58333333333333,44.6125,387.0416666666667,48.67083333333333,53,15.28888888888889,19.0,75.91111111111111,6.644444444444445,1006.4586666666668,415442237.03,estimated,0,Winter
Cairo,2023-01-04,30.7375,43.02916666666667,38.958333333333336,37.42083333333333,322.1666666666667,42.025,53,15.77777777777778,19.0,78.37777777777778,7.022222222222222,1007.3771111111112,433220556.22,estimated,0,Winter
Cairo,2023-01-05,23.14583333333333,34.125,29.041666666666668,48.1625,415.1666666666667,50.4125,53,16.136363636363637,19.0,61.79545454545455,5.704545454545454,1008.101818181818,401717933.65,estimated,0,Winter
Cairo,2023-01-06,21.59583333333333,32.145833333333336,26.875,52.26666666666667,419.2083333333333,50.4375,53,17.29787234042553,20.0,54.59574468085106,7.595744680851064,1008.5372340425532,419786522.27,estimated,1,Winter
Cairo,2023-01-07,24.725,31.55,21.916666666666668,55.24583333333334,463.75,61.54583333333333,53,17.558139534883722,20.0,54.58139534883721,2.9302325581395348,1006.8893023255812,355329646.12,estimated,1,Winter
Cairo,2023-01-08,22.291666666666668,32.475,26.5,44.79166666666666,401.7916666666667,48.69166666666666,53,17.073170731707318,20.0,56.14634146341464,7.7073170731707314,1003.2046341463416,347053966.61,estimated,0,Winter
Cairo,2023-01-09,22.745833333333334,31.925,33.708333333333336,44.79166666666666,439.8333333333333,54.17083333333333,53,14.76595744680851,18.0,72.55319148936171,6.617021276595745,1005.1819148936172,424818214.94,estimated,0,Winter
Cairo,2023-01-10,44.4625,50.075,15.0,72.39999999999999,865.75,137.05416666666667,53,15.431818181818182,19.0,68.5909090909091,3.933333333333333,1009.1343181818182,401302511.34,estimated,0,Winter
Cairo,2023-01-11,29.754166666666663,37.958333333333336,21.541666666666668,59.895833333333336,535.3333333333334,69.23333333333333,53,16.08695652173913,20.0,51.76086956521739,9.347826086956522,1006.8978260869565,401003746.83,estimated,0,Winter
Cairo,2023-01-12,26.6375,47.9125,36.708333333333336,38.40416666666667,312.7083333333333,35.40416666666666,53,15.822222222222225,19.0,45.53333333333333,14.622222222222222,1004.268,424978215.56,estimated,0,Winter
Cairo,2023-01-13,25.0125,41.895833333333336,37.333333333333336,38.45,304.5833333333333,35.325,53,15.76595744680851,19.0,48.5531914893617,14.212765957446807,1003.7540425531917,426149860.1,estimated,1,Winter
Cairo,2023-01-14,18.8625,34.895833333333336,42.5,30.0625,279.125,27.508333333333336,53,16.318181818181817,19.0,54.97727272727273,13.113636363636363,1003.3761363636364,368554205.57,estimated,1,Winter
Cairo,2023-01-15,17.004166666666666,25.3625,33.208333333333336,39.829166666666666,351.5416666666667,40.625,53,16.444444444444443,19.0,50.644444444444446,10.044444444444444,1004.1575555555556,354214486.39,estimated,0,Winter
Cairo,2023-01-16,23.9375,48.37083333333334,27.20833333333333,46.28333333333333,404.5833333333333,44.5625,53,15.204545454545457,18.0,51.5,10.909090909090908,1003.1513636363636,401030632.45,estimated,0,Winter
Cairo,2023-01-17,34.275,57.64166666666667,20.625,61.01666666666667,578.2916666666666,89.28750000000001,53,14.76086956521739,19.0,59.28260869565217,4.5,1008.1639130434784,401010646.34,estimated,0,Winter
Cairo,2023-01-18,32.800000000000004,45.475,36.833333333333336,49.80416666666667,426.1666666666667,47.2,53,16.302325581395348,21.0,55.55813953488372,11.511627906976743,1008.3116279069768,404687648.99,estimated,0,Winter
Cairo,2023-01-19,27.120833333333334,36.41666666666666,42.708333333333336,42.0,351.4583333333333,42.29583333333333,53,16.348837209302324,22.0,57.325581395348834,7.674418604651163,1005.4311904761904,395405987.42,estimated,0,Winter
Cairo,2023-01-20,35.6875,46.645833333333336,22.95833333333333,63.26666666666667,557.3333333333334,83.80416666666666,53,15.16279069767442,21.0,55.76744186046512,4.0,1002.3037209302324,421061946.62,estimated,1,Winter
Cairo,2023-01-21,45.458333333333336,54.1375,28.70833333333333,60.1625,482.5416666666667,74.12916666666666,53,15.431818181818182,20.0,60.59090909090909,5.954545454545454,1004.0697727272728,361793165.21,estimated,1,Winter
Cairo,2023-01-22,34.61666666666667,45.0625,38.083333333333336,45.0875,373.0,46.88333333333333,53,15.533333333333331,21.0,64.46666666666667,7.5777777777777775,1004.7068888888888,367261326.24,estimated,0,Winter
Cairo,2023-01-23,38.85,51.0625,42.5,38.2125,328.0,41.3375,53,16.318181818181817,21.0,79.0,10.386363636363637,1005.3546511627908,407964838.52,estimated,0,Winter
Cairo,2023-01-24,36.6875,52.23333333333333,49.583333333333336,31.725,286.2916666666667,36.9875,53,17.377777777777776,22.0,78.11111111111111,15.755555555555556,1005.5164444444443,424465822.88,estimated,0,Winter
Cairo,2023-01-25,37.31666666666667,49.42083333333333,51.458333333333336,37.03333333333333,343.4583333333333,38.7875,53,16.32608695652174,21.0,68.8913043478261,12.5,1004.7789130434784,428141591.24,estimated,0,Winter
Cairo,2023-01-26,28.195833333333336,38.2875,56.91666666666666,37.72916666666666,316.4166666666667,34.56666666666667,53,16.804347826086957,22.0,51.0,12.956521739130435,1002.2469565217392,413661083.31,estimated,0,Winter
Cairo,2023-01-27,32.44166666666667,52.708333333333336,55.083333333333336,35.13333333333333,249.9583333333333,33.61666666666667,53,20.979166666666668,26.0,25.5,14.479166666666666,997.5779166666666,433116954.35,estimated,1,Winter
Cairo,2023-01-28,42.05,82.34583333333333,45.91666666666666,33.28333333333333,266.25,41.579166666666666,53,19.166666666666668,24.0,43.22916666666666,11.3125,999.4875,348963933.57,estimated,1,Winter
Cairo,2023-01-29,23.666666666666668,41.19166666666667,53.66666666666666,27.541666666666668,236.5,25.59583333333333,53,17.306122448979593,22.0,60.89795918367347,12.612244897959185,999.9010204081632,348151317.94,estimated,0,Winter
Cairo,2023-01-30,29.4,46.56666666666666,38.29166666666666,41.99583333333333,367.0833333333333,48.175,53,16.25531914893617,20.0,52.55555555555556,9.829787234042554,999.4106382978724,408966204.77,estimated,0,Winter
Cairo,2023-01-31,24.491666666666664,57.0,53.125,30.729166666666668,269.3333333333333,25.65833333333333,53,15.225,18.0,42.725,21.225,999.6545,400828286.08,estimated,0,Winter
Cairo,2023-02-01,39.66666666666666,124.0375,60.25,21.5,243.9583333333333,20.425,53,14.346938775510203,18.0,52.24489795918368,23.93877551020408,1001.975306122449,405541339.59,estimated,0,Winter
Cairo,2023-02-02,20.8875,34.90833333333333,39.958333333333336,39.19166666666667,387.7916666666667,37.97083333333333,53,13.770833333333334,16.0,57.16666666666666,7.833333333333333,1009.1025,407187225.88,estimated,0,Winter
Cairo,2023-02-03,24.9875,38.21666666666667,32.458333333333336,53.675,452.0416666666667,60.083333333333336,53,14.75,18.0,50.520833333333336,7.6875,1008.1177083333332,415020047.83,estimated,1,Winter
Cairo,2023-02-04,15.583333333333334,29.183333333333334,52.54166666666666,34.00416666666667,283.6666666666667,26.4,53,15.25531914893617,19.0,47.7872340425532,11.148936170212766,1004.174255319149,338201606.07,estimated,1,Winter
Cairo,2023-02-05,19.575,37.3125,47.66666666666666,36.85416666666666,328.5416666666667,33.7625,53,15.729166666666666,20.0,42.29166666666666,19.229166666666668,998.7283333333334,345792277.74,estimated,0,Winter
Cairo,2023-02-06,43.12916666666666,126.5125,62.16666666666666,14.35,208.91666666666663,16.266666666666666,53,13.229166666666666,15.0,48.895833333333336,28.52083333333333,999.91875,414706504.48,estimated,0,Winter
