City,Date,Electricity Consumption,Source
New York,2023-12-01,372660698.39,eia-monthly
New York,2023-12-02,372660698.39,eia-monthly
New York,2023-12-03,372660698.39,eia-monthly
New York,2023-12-04,372660698.39,eia-monthly
New York,2023-12-05,372660698.39,eia-monthly
New York,2023-12-06,372660698.39,eia-monthly
New York,2023-12-07,372660698.39,eia-monthly
New York,2023-12-08,372660698.39,eia-monthly
New York,2023-12-09,372660698.39,eia-monthly
New York,2023-12-10,372660698.39,eia-monthly
New York,2023-12-11,372660698.39,eia-monthly
New York,2023-12-12,372660698.39,eia-monthly
New York,2023-12-13,372660698.39,eia-monthly
New York,2023-12-14,372660698.39,eia-monthly
New York,2023-12-15,372660698.39,eia-monthly
New York,2023-12-16,372660698.39,eia-monthly
New York,2023-12-17,372660698.39,eia-monthly
New York,2023-12-18,372660698.39,eia-monthly
New York,2023-12-19,372660698.39,eia-monthly
New York,2023-12-20,372660698.39,eia-monthly
New York,2023-12-21,372660698.39,eia-monthly
New York,2023-12-22,372660698.39,eia-monthly
New York,2023-12-23,372660698.39,eia-monthly
New York,2023-12-24,372660698.39,eia-monthly
New York,2023-12-25,372660698.39,eia-monthly
New York,2023-12-26,372660698.39,eia-monthly
New York,2023-12-27,372660698.39,eia-monthly
New York,2023-12-28,372660698.39,eia-monthly
New York,2023-12-29,372660698.39,eia-monthly
New York,2023-12-30,372660698.39,eia-monthly
New York,2023-12-31,372660698.39,eia-monthly
New York,2023-11-01,367364676.67,eia-monthly
New York,2023-11-02,367364676.67,eia-monthly
New York,2023-11-03,367364676.67,eia-monthly
New York,2023-11-04,367364676.67,eia-monthly
New York,2023-11-05,367364676.67,eia-monthly
New York,2023-11-06,367364676.67,eia-monthly
New York,2023-11-07,367364676.67,eia-monthly
New York,2023-11-08,367364676.67,eia-monthly
New York,2023-11-09,367364676.67,eia-monthly
New York,2023-11-10,367364676.67,eia-monthly
New York,2023-11-11,367364676.67,eia-monthly
New York,2023-11-12,367364676.67,eia-monthly
New York,2023-11-13,367364676.67,eia-monthly
New York,2023-11-14,367364676.67,eia-monthly
New York,2023-11-15,367364676.67,eia-monthly
New York,2023-11-16,367364676.67,eia-monthly
New York,2023-11-17,367364676.67,eia-monthly
New York,2023-11-18,367364676.67,eia-monthly
New York,2023-11-19,367364676.67,eia-monthly
New York,2023-11-20,367364676.67,eia-monthly
New York,2023-11-21,367364676.67,eia-monthly
New York,2023-11-22,367364676.67,eia-monthly
New York,2023-11-23,367364676.67,eia-monthly
New York,2023-11-24,367364676.67,eia-monthly
New York,2023-11-25,367364676.67,eia-monthly
New York,2023-11-26,367364676.67,eia-monthly
New York,2023-11-27,367364676.67,eia-monthly
New York,2023-11-28,367364676.67,eia-monthly
New York,2023-11-29,367364676.67,eia-monthly
New York,2023-11-30,367364676.67,eia-monthly
New York,2023-10-01,346696416.77,eia-monthly
New York,2023-10-02,346696416.77,eia-monthly
New York,2023-10-03,346696416.77,eia-monthly
New York,2023-10-04,346696416.77,eia-monthly
New York,2023-10-05,346696416.77,eia-monthly
New York,2023-10-06,346696416.77,eia-monthly
New York,2023-10-07,346696416.77,eia-monthly
New York,2023-10-08,346696416.77,eia-monthly
New York,2023-10-09,346696416.77,eia-monthly
New York,2023-10-10,346696416.77,eia-monthly
New York,2023-10-11,346696416.77,eia-monthly
New York,2023-10-12,346696416.77,eia-monthly
New York,2023-10-13,346696416.77,eia-monthly
New York,2023-10-14,346696416.77,eia-monthly
New York,2023-10-15,346696416.77,eia-monthly
New York,2023-10-16,346696416.77,eia-monthly
New York,2023-10-17,346696416.77,eia-monthly
New York,2023-10-18,346696416.77,eia-monthly
New York,2023-10-19,346696416.77,eia-monthly
New York,2023-10-20,346696416.77,eia-monthly
New York,2023-10-21,346696416.77,eia-monthly
New York,2023-10-22,346696416.77,eia-monthly
New York,2023-10-23,346696416.77,eia-monthly
New York,2023-10-24,346696416.77,eia-monthly
New York,2023-10-25,346696416.77,eia-monthly
New York,2023-10-26,346696416.77,eia-monthly
New York,2023-10-27,346696416.77,eia-monthly
New York,2023-10-28,346696416.77,eia-monthly
New York,2023-10-29,346696416.77,eia-monthly
New York,2023-10-30,346696416.77,eia-monthly
New York,2023-10-31,346696416.77,eia-monthly
New York,2023-09-01,422648555.0,eia-monthly
New York,2023-09-02,422648555.0,eia-monthly
New York,2023-09-03,422648555.0,eia-monthly
New York,2023-09-04,422648555.0,eia-monthly
New York,2023-09-05,422648555.0,eia-monthly
New York,2023-09-06,422648555.0,eia-monthly
New York,2023-09-07,422648555.0,eia-monthly
New York,2023-09-08,422648555.0,eia-monthly
New York,2023-09-09,422648555.0,eia-monthly
New York,2023-09-10,422648555.0,eia-monthly
New York,2023-09-11,422648555.0,eia-monthly
New York,2023-09-12,422648555.0,eia-monthly
New York,2023-09-13,422648555.0,eia-monthly
New York,2023-09-14,422648555.0,eia-monthly
New York,2023-09-15,422648555.0,eia-monthly
New York,2023-09-16,422648555.0,eia-monthly
New York,2023-09-17,422648555.0,eia-monthly
New York,2023-09-18,422648555.0,eia-monthly
New York,2023-09-19,422648555.0,eia-monthly
New York,2023-09-20,422648555.0,eia-monthly
New York,2023-09-21,422648555.0,eia-monthly
New York,2023-09-22,422648555.0,eia-monthly
New York,2023-09-23,422648555.0,eia-monthly
New York,2023-09-24,422648555.0,eia-monthly
New York,2023-09-25,422648555.0,eia-monthly
New York,2023-09-26,422648555.0,eia-monthly
New York,2023-09-27,422648555.0,eia-monthly
New York,2023-09-28,422648555.0,eia-monthly
New York,2023-09-29,422648555.0,eia-monthly
New York,2023-09-30,422648555.0,eia-monthly
New York,2023-08-01,438324807.1,eia-monthly
New York,2023-08-02,438324807.1,eia-monthly
New York,2023-08-03,438324807.1,eia-monthly
New York,2023-08-04,438324807.1,eia-monthly
New York,2023-08-05,438324807.1,eia-monthly
New York,2023-08-06,438324807.1,eia-monthly
New York,2023-08-07,438324807.1,eia-monthly
New York,2023-08-08,438324807.1,eia-monthly
New York,2023-08-09,438324807.1,eia-monthly
New York,2023-08-10,438324807.1,eia-monthly
New York,2023-08-11,438324807.1,eia-monthly
New York,2023-08-12,438324807.1,eia-monthly
New York,2023-08-13,438324807.1,eia-monthly
New York,2023-08-14,438324807.1,eia-monthly
New York,2023-08-15,438324807.1,eia-monthly
New York,2023-08-16,438324807.1,eia-monthly
New York,2023-08-17,438324807.1,eia-monthly
New York,2023-08-18,438324807.1,eia-monthly
New York,2023-08-19,438324807.1,eia-monthly
New York,2023-08-20,438324807.1,eia-monthly
New York,2023-08-21,438324807.1,eia-monthly
New York,2023-08-22,438324807.1,eia-monthly
New York,2023-08-23,438324807.1,eia-monthly
New York,2023-08-24,438324807.1,eia-monthly
New York,2023-08-25,438324807.1,eia-monthly
New York,2023-08-26,438324807.1,eia-monthly
New York,2023-08-27,438324807.1,eia-monthly
New York,2023-08-28,438324807.1,eia-monthly
New York,2023-08-29,438324807.1,eia-monthly
New York,2023-08-30,438324807.1,eia-monthly
New York,2023-08-31,438324807.1,eia-monthly
New York,2023-07-01,451219837.74,eia-monthly
New York,2023-07-02,451219837.74,eia-monthly
New York,2023-07-03,451219837.74,eia-monthly
New York,2023-07-04,451219837.74,eia-monthly
New York,2023-07-05,451219837.74,eia-monthly
New York,2023-07-06,451219837.74,eia-monthly
New York,2023-07-07,451219837.74,eia-monthly
New York,2023-07-08,451219837.74,eia-monthly
New York,2023-07-09,451219837.74,eia-monthly
New York,2023-07-10,451219837.74,eia-monthly
New York,2023-07-11,451219837.74,eia-monthly
New York,2023-07-12,451219837.74,eia-monthly
New York,2023-07-13,451219837.74,eia-monthly
New York,2023-07-14,451219837.74,eia-monthly
New York,2023-07-15,451219837.74,eia-monthly
New York,2023-07-16,451219837.74,eia-monthly
New York,2023-07-17,451219837.74,eia-monthly
New York,2023-07-18,451219837.74,eia-monthly
New York,2023-07-19,451219837.74,eia-monthly
New York,2023-07-20,451219837.74,eia-monthly
New York,2023-07-21,451219837.74,eia-monthly
New York,2023-07-22,451219837.74,eia-monthly
New York,2023-07-23,451219837.74,eia-monthly
New York,2023-07-24,451219837.74,eia-monthly
New York,2023-07-25,451219837.74,eia-monthly
New York,2023-07-26,451219837.74,eia-monthly
New York,2023-07-27,451219837.74,eia-monthly
New York,2023-07-28,451219837.74,eia-monthly
New York,2023-07-29,451219837.74,eia-monthly
New York,2023-07-30,451219837.74,eia-monthly
New York,2023-07-31,451219837.74,eia-monthly
New York,2023-06-01,369289603.0,eia-monthly
New York,2023-06-02,369289603.0,eia-monthly
New York,2023-06-03,369289603.0,eia-monthly
New York,2023-06-04,369289603.0,eia-monthly
New York,2023-06-05,369289603.0,eia-monthly
New York,2023-06-06,369289603.0,eia-monthly
New York,2023-06-07,369289603.0,eia-monthly
New York,2023-06-08,369289603.0,eia-monthly
New York,2023-06-09,369289603.0,eia-monthly
New York,2023-06-10,369289603.0,eia-monthly
New York,2023-06-11,369289603.0,eia-monthly
New York,2023-06-12,369289603.0,eia-monthly
New York,2023-06-13,369289603.0,eia-monthly
New York,2023-06-14,369289603.0,eia-monthly
New York,2023-06-15,369289603.0,eia-monthly
New York,2023-06-16,369289603.0,eia-monthly
New York,2023-06-17,369289603.0,eia-monthly
New York,2023-06-18,369289603.0,eia-monthly
New York,2023-06-19,369289603.0,eia-monthly
New York,2023-06-20,369289603.0,eia-monthly
New York,2023-06-21,369289603.0,eia-monthly
New York,2023-06-22,369289603.0,eia-monthly
New York,2023-06-23,369289603.0,eia-monthly
New York,2023-06-24,369289603.0,eia-monthly
New York,2023-06-25,369289603.0,eia-monthly
New York,2023-06-26,369289603.0,eia-monthly
New York,2023-06-27,369289603.0,eia-monthly
New York,2023-06-28,369289603.0,eia-monthly
New York,2023-06-29,369289603.0,eia-monthly
New York,2023-06-30,369289603.0,eia-monthly
New York,2023-05-01,328942171.29,eia-monthly
New York,2023-05-02,328942171.29,eia-monthly
New York,2023-05-03,328942171.29,eia-monthly
New York,2023-05-04,328942171.29,eia-monthly
New York,2023-05-05,328942171.29,eia-monthly
New York,2023-05-06,328942171.29,eia-monthly
New York,2023-05-07,328942171.29,eia-monthly
New York,2023-05-08,328942171.29,eia-monthly
New York,2023-05-09,328942171.29,eia-monthly
New York,2023-05-10,328942171.29,eia-monthly
New York,2023-05-11,328942171.29,eia-monthly
New York,2023-05-12,328942171.29,eia-monthly
New York,2023-05-13,328942171.29,eia-monthly
New York,2023-05-14,328942171.29,eia-monthly
New York,2023-05-15,328942171.29,eia-monthly
New York,2023-05-16,328942171.29,eia-monthly
New York,2023-05-17,328942171.29,eia-monthly
New York,2023-05-18,328942171.29,eia-monthly
New York,2023-05-19,328942171.29,eia-monthly
New York,2023-05-20,328942171.29,eia-monthly
New York,2023-05-21,328942171.29,eia-monthly
New York,2023-05-22,328942171.29,eia-monthly
New York,2023-05-23,328942171.29,eia-monthly
New York,2023-05-24,328942171.29,eia-monthly
New York,2023-05-25,328942171.29,eia-monthly
New York,2023-05-26,328942171.29,eia-monthly
New York,2023-05-27,328942171.29,eia-monthly
New York,2023-05-28,328942171.29,eia-monthly
New York,2023-05-29,328942171.29,eia-monthly
New York,2023-05-30,328942171.29,eia-monthly
New York,2023-05-31,328942171.29,eia-monthly
New York,2023-04-01,344337454.33,eia-monthly
New York,2023-04-02,344337454.33,eia-monthly
New York,2023-04-03,344337454.33,eia-monthly
New York,2023-04-04,344337454.33,eia-monthly
New York,2023-04-05,344337454.33,eia-monthly
New York,2023-04-06,344337454.33,eia-monthly
New York,2023-04-07,344337454.33,eia-monthly
New York,2023-04-08,344337454.33,eia-monthly
New York,2023-04-09,344337454.33,eia-monthly
New York,2023-04-10,344337454.33,eia-monthly
New York,2023-04-11,344337454.33,eia-monthly
New York,2023-04-12,344337454.33,eia-monthly
New York,2023-04-13,344337454.33,eia-monthly
New York,2023-04-14,344337454.33,eia-monthly
New York,2023-04-15,344337454.33,eia-monthly
New York,2023-04-16,344337454.33,eia-monthly
New York,2023-04-17,344337454.33,eia-monthly
New York,2023-04-18,344337454.33,eia-monthly
New York,2023-04-19,344337454.33,eia-monthly
New York,2023-04-20,344337454.33,eia-monthly
New York,2023-04-21,344337454.33,eia-monthly
New York,2023-04-22,344337454.33,eia-monthly
New York,2023-04-23,344337454.33,eia-monthly
New York,2023-04-24,344337454.33,eia-monthly
New York,2023-04-25,344337454.33,eia-monthly
New York,2023-04-26,344337454.33,eia-monthly
New York,2023-04-27,344337454.33,eia-monthly
New York,2023-04-28,344337454.33,eia-monthly
New York,2023-04-29,344337454.33,eia-monthly
New York,2023-04-30,344337454.33,eia-monthly
New York,2023-03-01,361971497.74,eia-monthly
New York,2023-03-02,361971497.74,eia-monthly
New York,2023-03-03,361971497.74,eia-monthly
New York,2023-03-04,361971497.74,eia-monthly
New York,2023-03-05,361971497.74,eia-monthly
New York,2023-03-06,361971497.74,eia-monthly
New York,2023-03-07,361971497.74,eia-monthly
New York,2023-03-08,361971497.74,eia-monthly
New York,2023-03-09,361971497.74,eia-monthly
New York,2023-03-10,361971497.74,eia-monthly
New York,2023-03-11,361971497.74,eia-monthly
New York,2023-03-12,361971497.74,eia-monthly
New York,2023-03-13,361971497.74,eia-monthly
New York,2023-03-14,361971497.74,eia-monthly
New York,2023-03-15,361971497.74,eia-monthly
New York,2023-03-16,361971497.74,eia-monthly
New York,2023-03-17,361971497.74,eia-monthly
New York,2023-03-18,361971497.74,eia-monthly
New York,2023-03-19,361971497.74,eia-monthly
New York,2023-03-20,361971497.74,eia-monthly
New York,2023-03-21,361971497.74,eia-monthly
New York,2023-03-22,361971497.74,eia-monthly
New York,2023-03-23,361971497.74,eia-monthly
New York,2023-03-24,361971497.74,eia-monthly
New York,2023-03-25,361971497.74,eia-monthly
New York,2023-03-26,361971497.74,eia-monthly
New York,2023-03-27,361971497.74,eia-monthly
New York,2023-03-28,361971497.74,eia-monthly
New York,2023-03-29,361971497.74,eia-monthly
New York,2023-03-30,361971497.74,eia-monthly
New York,2023-03-31,361971497.74,eia-monthly
New York,2023-02-01,396806833.21,eia-monthly
New York,2023-02-02,396806833.21,eia-monthly
New York,2023-02-03,396806833.21,eia-monthly
New York,2023-02-04,396806833.21,eia-monthly
New York,2023-02-05,396806833.21,eia-monthly
New York,2023-02-06,396806833.21,eia-monthly
New York,2023-02-07,396806833.21,eia-monthly
New York,2023-02-08,396806833.21,eia-monthly
New York,2023-02-09,396806833.21,eia-monthly
New York,2023-02-10,396806833.21,eia-monthly
New York,2023-02-11,396806833.21,eia-monthly
New York,2023-02-12,396806833.21,eia-monthly
