date,avg_temperature_c,avg_humidity_pct,rainfall_mm,max_wind_speed_kmh,city
2014-01-01,22.0,77,0.0,23.8,Cape Town
2014-01-01,11.2,72,0.0,9.2,Casablanca
2014-01-01,12.2,80,0.0,13.8,Delhi
2014-01-01,18.8,59,0.0,13.0,Johannesburg
2014-01-01,26.7,86,1.8,15.1,Lagos
2014-01-01,8.2,90,12.4,40.0,London
2014-01-01,11.4,75,0.0,8.7,Mexico City
2014-01-01,24.7,65,0.0,16.1,Mumbai
2014-01-01,20.0,69,0.6,13.7,Nairobi
2014-01-01,-2.5,48,0.0,16.2,New York
2014-01-01,7.7,89,3.0,34.7,Paris
2014-01-01,6.3,67,0.0,26.6,Tokyo
2014-01-02,22.6,79,0.0,23.3,Cape Town
2014-01-02,13.5,75,0.0,13.0,Casablanca
2014-01-02,11.0,67,0.0,14.0,Delhi
2014-01-02,20.7,55,0.3,13.7,Johannesburg
2014-01-02,27.0,84,0.3,10.7,Lagos
2014-01-02,7.9,88,1.3,30.6,London
2014-01-02,12.3,68,5.0,9.8,Mexico City
2014-01-02,25.2,64,0.0,14.6,Mumbai
2014-01-02,19.4,68,0.2,19.7,Nairobi
2014-01-02,-1.9,74,1.0,21.5,New York
2014-01-02,9.1,85,1.4,31.7,Paris
2014-01-02,4.0,66,0.0,20.0,Tokyo
2014-01-03,22.5,81,0.0,21.5,Cape Town
2014-01-03,14.1,84,0.0,10.1,Casablanca
2014-01-03,11.9,62,0.0,12.2,Delhi
2014-01-03,20.7,60,0.0,12.0,Johannesburg
2014-01-03,27.4,82,0.0,14.0,Lagos
2014-01-03,8.2,79,3.6,35.9,London
2014-01-03,8.6,81,3.8,11.6,Mexico City
2014-01-03,24.8,69,0.0,15.7,Mumbai
2014-01-03,19.6,63,0.0,17.7,Nairobi
2014-01-03,-10.2,70,13.0,28.8,New York
2014-01-03,10.2,79,1.8,33.4,Paris
2014-01-03,3.6,79,0.0,11.7,Tokyo
2014-01-04,21.4,83,0.0,17.7,Cape Town
2014-01-04,15.8,88,0.0,13.9,Casablanca
2014-01-04,13.3,68,0.0,8.2,Delhi
2014-01-04,20.4,58,0.0,10.0,Johannesburg
2014-01-04,27.3,81,0.0,13.4,Lagos
2014-01-04,6.9,88,17.9,33.1,London
2014-01-04,12.0,65,0.0,8.1,Mexico City
2014-01-04,24.2,73,0.0,17.2,Mumbai
2014-01-04,19.5,62,0.0,18.0,Nairobi
2014-01-04,-14.2,68,0.0,10.8,New York
2014-01-04,8.3,85,1.1,22.2,Paris
2014-01-04,4.1,67,0.0,21.7,Tokyo
2014-01-05,20.8,77,1.6,25.3,Cape Town
2014-01-05,14.7,83,0.0,15.8,Casablanca
2014-01-05,12.4,69,0.0,9.3,Delhi
2014-01-05,20.3,58,0.1,14.1,Johannesburg
2014-01-05,27.4,82,0.2,13.7,Lagos
2014-01-05,5.3,90,0.6,34.3,London
2014-01-05,13.0,56,0.0,7.2,Mexico City
2014-01-05,23.2,54,0.0,19.9,Mumbai
2014-01-05,20.2,52,0.0,17.3,Nairobi
2014-01-05,-6.1,83,0.1,12.1,New York
2014-01-05,6.2,85,0.4,27.3,Paris
2014-01-05,2.1,66,0.0,19.2,Tokyo
2014-01-06,21.0,79,3.0,25.8,Cape Town
2014-01-06,13.3,82,0.0,9.4,Casablanca
2014-01-06,11.4,71,0.0,13.0,Delhi
2014-01-06,18.8,72,0.9,8.5,Johannesburg
2014-01-06,27.4,83,1.1,15.7,Lagos
2014-01-06,10.6,85,5.4,35.2,London
2014-01-06,12.8,66,0.0,9.4,Mexico City
2014-01-06,23.3,49,0.0,15.3,Mumbai
2014-01-06,20.1,54,0.0,16.8,Nairobi
2014-01-06,7.0,94,8.0,25.2,New York
2014-01-06,11.6,84,2.4,28.7,Paris
2014-01-06,2.4,58,0.0,31.5,Tokyo
2014-01-07,21.1,79,4.7,28.7,Cape Town
2014-01-07,13.5,75,0.0,9.8,Casablanca
2014-01-07,12.0,68,0.0,12.0,Delhi
2014-01-07,20.1,66,0.3,9.2,Johannesburg
2014-01-07,27.3,84,0.4,14.2,Lagos
2014-01-07,9.5,83,2.3,33.9,London
2014-01-07,9.1,70,2.2,14.7,Mexico City
2014-01-07,24.2,67,0.0,11.3,Mumbai
2014-01-07,20.4,57,0.0,17.5,Nairobi
2014-01-07,-11.0,35,0.0,32.4,New York
2014-01-07,10.0,88,4.5,22.6,Paris
2014-01-07,3.5,74,0.0,15.8,Tokyo
2014-01-08,20.6,82,0.8,22.8,Cape Town
2014-01-08,17.7,42,0.0,14.5,Casablanca
2014-01-08,11.8,69,0.0,8.0,Delhi
2014-01-08,18.6,76,4.4,13.6,Johannesburg
2014-01-08,27.3,83,1.1,15.5,Lagos
2014-01-08,8.7,88,0.9,23.5,London
2014-01-08,11.0,72,1.0,7.1,Mexico City
