Date,Temperature,humidity,wind_speed,City
2023-01-01,10.2,83,31.4,London
2023-01-01,18.2,59,20.6,Nairobi
2023-01-02,5.5,91,15.5,London
2023-01-02,17.0,73,20.8,Nairobi
2023-01-03,8.3,91,37.4,London
2023-01-03,16.6,83,18.4,Nairobi
2023-01-04,11.8,85,35.9,London
2023-01-04,17.1,81,20.0,Nairobi
2023-01-05,10.5,87,31.5,London
2023-01-05,17.5,72,23.1,Nairobi
2023-01-06,9.6,87,32.3,London
2023-01-06,18.8,58,17.4,Nairobi
2023-01-07,10.1,84,36.7,London
2023-01-07,19.0,60,16.6,Nairobi
2023-01-08,7.2,83,28.8,London
2023-01-08,19.3,65,17.6,Nairobi
2023-01-09,5.7,81,26.0,London
2023-01-09,18.9,71,17.6,Nairobi
2023-01-10,8.6,88,36.7,London
2023-01-10,18.9,67,18.1,Nairobi
2023-01-11,8.6,82,34.5,London
2023-01-11,19.0,66,18.9,Nairobi
2023-01-12,10.3,86,40.7,London
2023-01-12,19.3,63,20.6,Nairobi
2023-01-13,7.4,74,33.8,London
2023-01-13,19.1,57,20.7,Nairobi
2023-01-14,8.9,82,40.4,London
2023-01-14,19.1,54,17.1,Nairobi
2023-01-15,4.6,76,29.6,London
2023-01-15,19.4,55,19.6,Nairobi
2023-01-16,2.2,88,27.9,London
2023-01-16,19.0,56,21.5,Nairobi
2023-01-17,-2.2,88,9.7,London
2023-01-17,18.7,57,15.7,Nairobi
2023-01-18,-0.4,87,17.2,London
2023-01-18,20.2,44,16.9,Nairobi
2023-01-19,-0.4,90,10.9,London
2023-01-19,20.8,46,13.3,Nairobi
2023-01-20,1.7,86,17.7,London
2023-01-20,20.2,58,17.2,Nairobi
2023-01-21,1.1,92,11.2,London
2023-01-21,20.1,53,21.7,Nairobi
2023-01-22,-1.9,94,5.4,London
2023-01-22,19.6,53,18.1,Nairobi
2023-01-23,-1.0,86,6.6,London
2023-01-23,19.2,62,16.8,Nairobi
2023-01-24,1.6,91,9.6,London
2023-01-24,19.5,59,20.5,Nairobi
2023-01-25,0.9,94,20.2,London
2023-01-25,20.1,52,18.1,Nairobi
2023-01-26,4.6,89,23.7,London
2023-01-26,20.7,46,19.3,Nairobi
2023-01-27,3.8,84,21.5,London
2023-01-27,19.5,51,20.4,Nairobi
2023-01-28,2.3,88,11.2,London
2023-01-28,19.1,49,20.9,Nairobi
2023-01-29,4.4,92,25.3,London
2023-01-29,19.9,46,18.3,Nairobi
2023-01-30,5.9,83,23.5,London
2023-01-30,19.9,50,17.0,Nairobi
2023-01-31,6.3,83,25.6,London
2023-01-31,19.9,53,15.5,Nairobi
2023-02-01,6.4,79,31.1,London
2023-02-01,20.9,50,14.2,Nairobi
2023-02-02,7.7,86,27.0,London
2023-02-02,20.8,44,17.9,Nairobi
2023-02-03,9.3,86,22.7,London
2023-02-03,21.0,38,23.0,Nairobi
2023-02-04,7.5,87,13.3,London
2023-02-04,21.4,42,20.4,Nairobi
2023-02-05,4.6,82,16.9,London
2023-02-05,21.5,46,18.4,Nairobi
2023-02-06,2.3,89,11.8,London
2023-02-06,21.7,39,17.4,Nairobi
2023-02-07,1.2,93,10.6,London
2023-02-07,21.3,49,15.3,Nairobi
2023-02-08,0.4,90,12.0,London
2023-02-08,21.2,56,15.7,Nairobi
2023-02-09,2.3,85,11.7,London
2023-02-09,21.2,52,18.2,Nairobi
2023-02-10,2.6,88,16.9,London
2023-02-10,21.7,43,20.7,Nairobi
2023-02-11,7.9,87,12.7,London
2023-02-11,21.1,47,23.2,Nairobi
2023-02-12,7.2,83,12.0,London
2023-02-12,20.5,45,21.4,Nairobi
2023-02-13,5.6,87,12.6,London
2023-02-13,20.3,40,15.7,Nairobi
2023-02-14,5.1,87,13.8,London
2023-02-14,21.0,43,17.9,Nairobi
2023-02-15,6.7,84,19.3,London
2023-02-15,21.6,44,18.0,Nairobi
2023-02-16,9.7,91,24.3,London
2023-02-16,21.5,50,19.1,Nairobi
2023-02-17,11.7,87,36.2,London
2023-02-17,20.9,51,21.0,Nairobi
2023-02-18,10.9,85,27.3,London
2023-02-18,20.1,53,22.2,Nairobi
2023-02-19,8.6,80,18.5,London
2023-02-19,20.1,55,20.8,Nairobi
2023-02-20,9.3,85,27.6,London
2023-02-20,21.3,44,17.9,Nairobi
2023-02-21,8.0,90,13.2,London
2023-02-21,21.2,41,18.6,Nairobi
2023-02-22,5.9,93,12.6,London
2023-02-22,21.7,44,18.5,Nairobi
2023-02-23,5.8,83,23.9,London
2023-02-23,21.5,47,20.2,Nairobi
2023-02-24,4.0,83,15.2,London
2023-02-24,21.8,47,18.3,Nairobi
2023-02-25,4.2,77,27.0,London
2023-02-25,21.8,50,20.9,Nairobi
2023-02-26,4.0,66,27.6,London
2023-02-26,22.1,52,21.3,Nairobi
2023-02-27,3.9,71,20.9,London
2023-02-27,21.0,62,21.8,Nairobi
2023-02-28,4.5,81,27.3,London
2023-02-28,20.8,57,20.3,Nairobi
2023-03-01,5.2,84,19.2,London
2023-03-01,21.7,49,16.9,Nairobi
2023-03-02,4.0,79,24.5,London
2023-03-02,22.2,48,16.9,Nairobi
2023-03-03,3.9,80,19.6,London
2023-03-03,21.9,55,17.7,Nairobi
2023-03-04,5.0,76,15.5,London
2023-03-04,21.5,52,20.1,Nairobi
2023-03-05,3.1,74,13.5,London
2023-03-05,21.2,51,22.2,Nairobi
2023-03-06,3.8,88,22.5,London
2023-03-06,21.3,48,21.0,Nairobi
2023-03-07,2.7,87,12.9,London
2023-03-07,21.6,47,19.4,Nairobi
2023-03-08,1.4,96,23.3,London
2023-03-08,22.0,46,20.0,Nairobi
2023-03-09,6.4,93,21.0,London
2023-03-09,22.4,45,19.7,Nairobi
2023-03-10,3.9,85,33.2,London
2023-03-10,22.4,49,17.4,Nairobi
2023-03-11,2.7,77,16.7,London
2023-03-11,21.7,51,17.5,Nairobi
2023-03-12,10.1,85,32.6,London
2023-03-12,21.7,53,16.6,Nairobi
2023-03-13,11.6,81,50.4,London
2023-03-13,21.5,55,18.0,Nairobi
2023-03-14,6.2,72,26.7,London
2023-03-14,21.4,58,14.9,Nairobi
2023-03-15,4.6,84,23.4,London
2023-03-15,21.3,57,12.3,Nairobi
2023-03-16,10.4,83,28.1,London
2023-03-16,18.9,75,14.2,Nairobi
2023-03-17,10.6,90,17.4,London
2023-03-17,19.1,69,18.0,Nairobi
2023-03-18,10.0,86,14.0,London
2023-03-18,20.6,56,17.8,Nairobi
2023-03-19,8.2,77,19.7,London
2023-03-19,20.5,62,16.8,Nairobi
2023-03-20,9.8,87,25.6,London
2023-03-20,20.2,67,15.0,Nairobi
2023-03-21,10.8,82,31.1,London
2023-03-21,18.4,78,11.6,Nairobi
2023-03-22,11.3,82,35.0,London
2023-03-22,19.7,74,11.7,Nairobi
2023-03-23,10.7,80,36.2,London
2023-03-23,19.1,77,14.8,Nairobi
2023-03-24,9.7,79,35.4,London
2023-03-24,19.4,77,10.7,Nairobi
2023-03-25,10.0,70,38.5,London
2023-03-25,18.6,80,12.2,Nairobi
2023-03-26,7.3,84,22.2,London
2023-03-26,17.6,81,11.7,Nairobi
2023-03-27,5.3,69,12.3,London
2023-03-27,19.3,73,14.5,Nairobi
2023-03-28,7.2,78,25.8,London
2023-03-28,19.8,75,14.7,Nairobi
2023-03-29,11.5,89,29.6,London
2023-03-29,19.1,75,12.7,Nairobi
2023-03-30,12.0,81,31.8,London
2023-03-30,19.6,74,17.8,Nairobi
2023-03-31,10.8,87,33.7,London
2023-03-31,19.4,75,16.4,Nairobi
2023-04-01,9.6,81,21.2,London
2023-04-01,20.1,68,11.5,Nairobi
2023-04-02,7.7,72,23.0,London
2023-04-02,20.1,68,11.2,Nairobi
2023-04-03,5.4,76,18.5,London
2023-04-03,19.3,77,14.2,Nairobi
2023-04-04,5.7,75,13.3,London
2023-04-04,18.1,79,13.4,Nairobi
2023-04-05,6.8,79,12.5,London
2023-04-05,19.0,77,17.6,Nairobi
2023-04-06,9.3,84,22.8,London
2023-04-06,18.2,80,16.0,Nairobi
2023-04-07,8.0,72,10.1,London
2023-04-07,19.3,73,15.5,Nairobi
2023-04-08,7.9,81,11.0,London
2023-04-08,17.5,88,18.5,Nairobi
2023-04-09,9.6,76,15.5,London
2023-04-09,18.7,81,16.5,Nairobi
2023-04-10,10.8,78,33.0,London
2023-04-10,19.7,75,16.6,Nairobi
2023-04-11,8.8,76,39.4,London
2023-04-11,18.4,84,20.8,Nairobi
2023-04-12,7.5,76,46.0,London
2023-04-12,18.9,81,16.6,Nairobi
2023-04-13,8.2,67,27.0,London
2023-04-13,18.3,83,16.6,Nairobi
2023-04-14,7.3,83,21.3,London
2023-04-14,18.1,83,15.6,Nairobi
2023-04-15,9.6,80,18.0,London
2023-04-15,18.9,79,17.0,Nairobi
2023-04-16,10.0,77,10.5,London
2023-04-16,19.0,78,14.3,Nairobi
2023-04-17,10.5,80,18.4,London
2023-04-17,19.1,79,13.6,Nairobi
2023-04-18,8.8,78,32.2,London
2023-04-18,19.1,78,15.5,Nairobi
2023-04-19,10.1,72,29.7,London
2023-04-19,19.3,77,13.2,Nairobi
2023-04-20,8.8,69,29.4,London
2023-04-20,19.9,72,12.8,Nairobi
2023-04-21,7.2,85,16.3,London
2023-04-21,20.4,72,9.4,Nairobi
2023-04-22,8.2,79,17.7,London
2023-04-22,18.4,85,13.8,Nairobi
2023-04-23,10.2,82,22.0,London
2023-04-23,18.3,82,10.9,Nairobi
2023-04-24,8.0,81,20.4,London
2023-04-24,19.4,78,11.2,Nairobi
2023-04-25,6.5,68,12.9,London
2023-04-25,18.2,86,14.1,Nairobi
2023-04-26,7.9,69,15.1,London
2023-04-26,18.1,85,13.0,Nairobi
2023-04-27,9.4,76,21.8,London
2023-04-27,19.3,78,12.9,Nairobi
2023-04-28,13.1,85,22.5,London
2023-04-28,18.0,85,16.7,Nairobi
2023-04-29,10.9,80,13.4,London
2023-04-29,18.2,79,11.9,Nairobi
2023-04-30,11.4,77,15.9,London
2023-04-30,17.7,85,10.6,Nairobi
2023-05-01,12.0,80,16.0,London
2023-05-01,17.0,88,15.8,Nairobi
2023-05-02,10.3,81,18.8,London
2023-05-02,18.1,83,8.7,Nairobi
2023-05-03,9.4,75,24.1,London
2023-05-03,18.3,85,13.3,Nairobi
2023-05-04,13.1,78,24.8,London
2023-05-04,19.0,78,10.4,Nairobi
2023-05-05,13.6,80,19.9,London
2023-05-05,19.2,75,11.8,Nairobi
2023-05-06,12.6,90,23.3,London
2023-05-06,18.9,76,7.8,Nairobi
2023-05-07,14.9,82,10.7,London
2023-05-07,19.1,77,9.4,Nairobi
2023-05-08,12.6,86,23.4,London
2023-05-08,19.1,77,10.2,Nairobi
2023-05-09,13.8,86,18.6,London
2023-05-09,19.0,79,10.5,Nairobi
2023-05-10,12.7,83,22.0,London
2023-05-10,18.4,80,13.0,Nairobi
2023-05-11,12.3,81,9.4,London
2023-05-11,18.5,81,10.7,Nairobi
2023-05-12,11.1,87,32.0,London
2023-05-12,18.9,74,10.0,Nairobi
2023-05-13,11.6,84,20.2,London
2023-05-13,19.1,76,11.4,Nairobi
2023-05-14,12.7,83,11.5,London
2023-05-14,19.2,75,9.2,Nairobi
2023-05-15,11.8,70,23.7,London
2023-05-15,19.2,75,11.2,Nairobi
2023-05-16,11.2,73,21.9,London
2023-05-16,18.8,79,10.9,Nairobi
2023-05-17,12.0,76,11.1,London
2023-05-17,19.0,77,9.1,Nairobi
2023-05-18,12.9,72,14.1,London
2023-05-18,19.3,77,9.2,Nairobi
2023-05-19,12.0,75,15.9,London
2023-05-19,19.4,71,8.0,Nairobi
2023-05-20,12.9,70,22.9,London
2023-05-20,19.4,67,9.5,Nairobi
2023-05-21,13.0,70,25.0,London
2023-05-21,19.1,70,10.6,Nairobi
2023-05-22,14.1,69,24.2,London
2023-05-22,20.0,70,11.6,Nairobi
2023-05-23,12.9,69,16.7,London
2023-05-23,19.7,73,12.4,Nairobi
2023-05-24,14.4,72,14.9,London
2023-05-24,19.2,72,11.5,Nairobi
2023-05-25,13.4,74,16.6,London
2023-05-25,19.3,67,14.3,Nairobi
2023-05-26,12.5,71,20.9,London
2023-05-26,18.6,68,10.5,Nairobi
2023-05-27,12.9,74,18.2,London
2023-05-27,18.3,73,11.3,Nairobi
2023-05-28,14.1,66,25.3,London
2023-05-28,18.5,73,16.1,Nairobi
2023-05-29,12.4,66,26.6,London
2023-05-29,17.6,83,11.9,Nairobi
2023-05-30,12.8,70,27.1,London
2023-05-30,17.3,81,11.0,Nairobi
2023-05-31,13.9,74,23.9,London
2023-05-31,18.6,71,10.0,Nairobi
2023-06-01,13.4,71,23.0,London
2023-06-01,19.1,72,9.6,Nairobi
2023-06-02,13.1,65,22.7,London
2023-06-02,19.0,74,12.8,Nairobi
2023-06-03,14.7,68,21.9,London
2023-06-03,18.7,76,11.6,Nairobi
2023-06-04,14.9,69,18.5,London
2023-06-04,18.3,73,8.5,Nairobi
2023-06-05,13.1,71,20.4,London
2023-06-05,19.1,69,10.0,Nairobi
2023-06-06,13.1,69,21.9,London
