Date,Temperature_mean,Temperature_max,Humidity,Wind_speed,Pressure,City
2022-12-31,16.8,17.0,68.8,8.4,840.85,Nairobi
2023-01-01,19.93,26.0,58.07,20.95,840.14,Nairobi
2023-01-02,18.84,24.0,66.87,22.02,839.98,Nairobi
2023-01-03,18.79,23.0,77.81,24.14,840.35,Nairobi
2023-01-04,17.79,22.0,80.65,17.85,840.13,Nairobi
2023-01-05,18.7,24.0,66.55,19.77,839.79,Nairobi
2023-01-06,20.38,27.0,51.8,16.9,840.01,Nairobi
2023-01-07,20.27,27.0,56.0,17.58,839.25,Nairobi
2023-01-08,20.77,27.0,62.15,19.52,839.24,Nairobi
2023-01-09,19.76,27.0,70.0,17.17,840.04,Nairobi
2023-01-10,21.11,26.0,60.71,19.63,840.65,Nairobi
2023-01-11,20.82,27.0,61.08,18.85,839.42,Nairobi
2023-01-12,20.93,27.0,58.16,20.82,838.51,Nairobi
2023-01-13,20.7,27.0,53.95,18.4,838.99,Nairobi
2023-01-14,20.64,27.0,50.48,17.69,839.11,Nairobi
2023-01-15,21.05,27.0,49.15,18.68,838.41,Nairobi
2023-01-16,20.64,27.0,51.61,18.52,838.88,Nairobi
2023-01-17,20.21,27.0,54.79,16.98,839.05,Nairobi
2023-01-18,21.51,29.0,40.07,14.6,838.61,Nairobi
2023-01-19,22.08,29.0,41.23,15.5,838.31,Nairobi
2023-01-20,22.0,29.0,52.36,18.19,837.84,Nairobi
2023-01-21,21.58,28.0,50.02,18.73,837.18,Nairobi
2023-01-22,20.44,26.0,52.12,16.32,837.85,Nairobi
2023-01-23,21.18,26.0,60.02,17.05,838.0,Nairobi
2023-01-24,21.55,27.0,53.55,18.85,838.39,Nairobi
2023-01-25,22.03,28.0,48.75,18.0,837.13,Nairobi
2023-01-26,21.95,30.0,45.17,17.43,837.13,Nairobi
2023-01-27,20.77,27.0,50.56,19.84,838.07,Nairobi
2023-01-28,20.7,28.0,49.61,18.67,837.65,Nairobi
2023-01-29,20.03,28.0,50.97,16.55,838.03,Nairobi
2023-01-30,22.29,28.0,46.85,16.38,838.37,Nairobi
2023-01-31,22.19,28.0,49.88,17.28,838.57,Nairobi
2023-02-01,23.4,30.0,48.91,14.82,838.65,Nairobi
2023-02-02,23.16,30.0,46.75,13.25,838.97,Nairobi
2023-02-03,23.45,30.0,33.0,18.02,838.85,Nairobi
2023-02-04,22.92,31.0,41.58,17.65,838.21,Nairobi
2023-02-05,22.91,30.0,44.83,15.23,837.49,Nairobi
2023-02-06,22.8,30.0,41.96,14.0,837.44,Nairobi
2023-02-07,22.39,29.0,51.28,13.36,837.59,Nairobi
2023-02-08,22.58,29.0,51.95,18.12,837.96,Nairobi
2023-02-09,22.02,29.0,54.2,15.41,838.67,Nairobi
2023-02-10,22.57,30.0,45.7,17.7,838.99,Nairobi
2023-02-11,21.98,29.0,47.98,19.34,839.13,Nairobi
2023-02-12,21.33,28.0,45.48,19.58,839.05,Nairobi
2023-02-13,21.3,29.0,41.21,16.66,839.08,Nairobi
2023-02-14,21.61,29.0,46.74,16.11,838.31,Nairobi
2023-02-15,23.41,29.0,41.93,19.07,836.62,Nairobi
2023-02-16,22.82,29.0,49.38,19.67,837.2,Nairobi
2023-02-17,20.88,28.0,54.24,19.81,838.28,Nairobi
2023-02-18,20.76,27.0,56.24,20.24,838.43,Nairobi
2023-02-19,21.46,29.0,55.44,21.17,838.6,Nairobi
2023-02-20,21.26,29.0,47.17,18.83,838.96,Nairobi
2023-02-21,21.63,28.0,41.93,17.8,839.01,Nairobi
2023-02-22,22.06,29.0,45.78,16.36,838.43,Nairobi
2023-02-23,22.66,29.0,49.75,20.23,838.02,Nairobi
2023-02-24,23.04,30.0,49.08,17.58,838.59,Nairobi
2023-02-25,22.74,29.0,50.26,20.43,839.1,Nairobi
2023-02-26,22.69,29.0,52.67,23.29,839.24,Nairobi
2023-02-27,21.24,27.0,62.2,20.7,839.71,Nairobi
2023-02-28,21.67,27.0,58.16,19.11,840.13,Nairobi
2023-03-01,22.83,29.0,49.06,16.04,839.58,Nairobi
2023-03-02,22.64,29.0,50.83,17.3,839.05,Nairobi
2023-03-03,22.63,29.0,52.63,16.84,839.39,Nairobi
2023-03-04,22.85,29.0,51.35,21.3,840.01,Nairobi
2023-03-05,21.62,29.0,54.96,21.02,840.16,Nairobi
2023-03-06,22.13,29.0,52.07,20.48,838.73,Nairobi
2023-03-07,22.44,30.0,53.52,21.38,837.7,Nairobi
2023-03-08,23.11,30.0,53.41,20.02,837.57,Nairobi
2023-03-09,22.72,30.0,55.41,16.34,837.77,Nairobi
2023-03-10,23.69,29.0,52.12,21.86,836.94,Nairobi
2023-03-11,22.91,29.0,57.62,20.29,837.13,Nairobi
2023-03-12,22.9,29.0,57.4,18.65,837.32,Nairobi
2023-03-13,22.54,29.0,56.43,18.7,837.17,Nairobi
2023-03-14,21.64,28.0,61.82,17.39,836.88,Nairobi
2023-03-15,22.57,28.0,58.88,18.45,836.97,Nairobi
2023-03-16,19.02,23.0,82.46,11.33,837.56,Nairobi
2023-03-17,19.4,24.0,71.47,15.93,837.79,Nairobi
2023-03-18,21.3,28.0,57.15,14.0,838.42,Nairobi
2023-03-19,21.27,28.0,64.7,15.63,838.56,Nairobi
2023-03-20,22.0,29.0,61.98,14.68,837.93,Nairobi
2023-03-21,20.33,26.0,73.79,10.58,837.87,Nairobi
2023-03-22,20.16,26.0,77.47,12.31,837.84,Nairobi
2023-03-23,19.95,27.0,78.26,11.02,838.03,Nairobi
2023-03-24,20.09,26.0,75.88,7.5,837.97,Nairobi
2023-03-25,19.48,24.0,78.07,12.02,838.23,Nairobi
2023-03-26,19.08,23.0,78.65,10.27,838.62,Nairobi
2023-03-27,20.91,26.0,69.21,11.74,838.12,Nairobi
2023-03-28,22.04,28.0,66.4,14.82,838.24,Nairobi
2023-03-29,21.39,27.0,67.91,15.87,839.24,Nairobi
2023-03-30,20.29,27.0,74.42,16.29,838.86,Nairobi
2023-03-31,20.92,26.0,68.87,17.49,838.18,Nairobi
2023-04-01,22.22,28.0,61.07,10.17,838.76,Nairobi
2023-04-02,21.81,28.0,66.52,11.85,838.07,Nairobi
2023-04-03,18.8,23.0,83.67,10.43,838.09,Nairobi
2023-04-04,20.0,25.0,71.9,14.78,838.19,Nairobi
2023-04-05,20.38,25.0,72.27,16.94,838.3,Nairobi
2023-04-06,19.69,24.0,77.48,14.02,838.6,Nairobi
2023-04-07,21.0,28.0,71.27,16.08,838.65,Nairobi
2023-04-08,17.96,23.0,89.64,15.21,839.12,Nairobi
2023-04-09,18.83,24.0,84.11,14.4,839.3,Nairobi
2023-04-10,20.56,26.0,76.92,15.44,838.5,Nairobi
2023-04-11,19.65,25.0,82.65,16.79,838.33,Nairobi
2023-04-12,19.69,25.0,81.71,15.12,838.65,Nairobi
2023-04-13,19.79,25.0,81.15,16.04,839.72,Nairobi
2023-04-14,17.78,20.0,91.97,12.43,839.85,Nairobi
2023-04-15,19.28,25.0,82.33,16.58,839.07,Nairobi
2023-04-16,19.12,25.0,84.21,15.57,838.4,Nairobi
2023-04-17,19.8,24.0,79.28,14.39,837.8,Nairobi
